timestamp,region,solar_mw,wind_mw,hydro_mw,nuclear_mw,coal_mw,gas_mw,total_demand_mw,carbon_intensity_gco2_kwh,renewable_pct
2024-06-01T00:00:00,REGION_A,0,1200,800,2400,3500,1800,9700,485,20.6
2024-06-01T01:00:00,REGION_A,0,1150,800,2400,3400,1750,9500,482,20.5
2024-06-01T02:00:00,REGION_A,0,1100,800,2400,3300,1700,9300,480,20.4
2024-06-01T06:00:00,REGION_A,800,1300,850,2400,3200,1650,10200,420,28.9
2024-06-01T09:00:00,REGION_A,2500,1100,900,2400,3600,2000,12500,380,36.0
2024-06-01T12:00:00,REGION_A,3800,900,950,2400,3800,2200,14050,350,40.2
2024-06-01T15:00:00,REGION_A,3200,1000,900,2400,3900,2300,13700,365,37.2
2024-06-01T18:00:00,REGION_A,1200,1400,850,2400,4000,2400,12250,410,28.2
2024-06-01T21:00:00,REGION_A,0,1500,800,2400,3700,2100,10500,460,21.9
2024-06-02T00:00:00,REGION_A,0,1250,800,2400,3450,1800,9700,483,21.1
2024-06-02T12:00:00,REGION_A,4000,1100,950,2400,3600,2100,14150,340,42.8
2024-06-03T12:00:00,REGION_A,3500,1200,900,2400,3700,2200,13900,355,40.3
