date,factory_id,electricity_kwh,natural_gas_m3,diesel_liters,production_units,waste_kg,water_m3,transport_km,employees_present
2024-01-01,FAC001,12500,3200,450,1200,850,2400,1500,145
2024-01-02,FAC001,13100,3350,470,1250,890,2450,1550,148
2024-01-03,FAC001,11800,3100,420,1150,810,2350,1480,142
2024-01-04,FAC001,12900,3280,460,1220,870,2420,1520,146
2024-01-05,FAC001,11200,2900,380,1050,750,2200,1350,135
2024-01-06,FAC001,9800,2500,320,900,650,1900,1100,110
2024-01-07,FAC001,9500,2450,310,880,630,1850,1050,108
2024-01-08,FAC001,13200,3400,480,1280,900,2500,1580,150
2024-01-09,FAC001,13500,3450,490,1300,920,2520,1600,152
2024-01-10,FAC001,12700,3250,455,1210,860,2410,1510,144
2024-01-15,FAC001,13800,3500,500,1320,940,2550,1620,155
2024-02-01,FAC001,14200,3600,520,1380,970,2600,1680,158
2024-02-15,FAC001,14500,3650,530,1400,990,2650,1700,160
2024-03-01,FAC001,13900,3520,510,1340,950,2580,1650,156
2024-03-15,FAC001,14800,3700,540,1420,1010,2700,1720,162
2024-04-01,FAC001,15200,3800,560,1460,1040,2750,1780,165
2024-04-15,FAC001,15500,3850,570,1480,1060,2800,1800,168
2024-05-01,FAC001,14600,3680,535,1410,1000,2680,1710,161
2024-05-15,FAC001,15800,3900,580,1500,1080,2850,1820,170
2024-06-01,FAC001,16200,4000,600,1550,1100,2900,1880,175
2024-06-15,FAC001,16500,4050,610,1580,1120,2950,1900,178
2024-06-30,FAC001,15000,3750,550,1450,1030,2730,1760,163
2024-01-01,FAC002,8500,2100,280,800,520,1600,980,95
2024-01-15,FAC002,8800,2200,300,850,550,1650,1020,98
2024-02-01,FAC002,9200,2300,320,890,580,1700,1060,102
2024-03-01,FAC002,9500,2350,330,910,600,1750,1100,105
2024-04-01,FAC002,9800,2400,340,930,620,1800,1140,108
2024-05-01,FAC002,10200,2500,360,970,650,1850,1180,112
2024-06-01,FAC002,10500,2600,380,1000,680,1900,1220,115
